MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,EP_SUM_YR_1,EP_SUM_YR_2,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,WEIGHTED_SEG_KM,LAST_FLIGHT_DATE,AVG_FLIGHT_COUNT,AVG_BP_SUM,BEGIN_TO_FIRST,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,ADD_POINTS_SUM_YR_1,ADD_POINTS_SUM_YR_2,EXCHANGE_COUNT,avg_discount,P1Y_Flight_Count,L1Y_Flight_Count,P1Y_BP_SUM,L1Y_BP_SUM,EP_SUM,ADD_Point_SUM,Eli_Add_Point_Sum,L1Y_ELi_Add_Points,Points_Sum,L1Y_Points_Sum,Ration_L1Y_Flight_Count,Ration_P1Y_Flight_Count,Ration_P1Y_BPS,Ration_L1Y_BPS,Point_NotFlight
28065,2007/02/19,2007/08/03,男,6,,北京,CN,42.0,2014/03/31,140,362480,0,41288,171483.0,167434.0,293678,367777.2,2014/03/25,17.5,45310.0,2,7,5.194244604,17,0,12000,29,1.25231444,68,72,177358,185122,41288,12000,53288,53288,415768,238410,0.514285714,0.485714286,0.489289094,0.510708147,33
32197,2011/06/07,2011/07/01,男,5,DRANCY,,FR,50.0,2014/03/31,56,262958,0,31700,72596.0,87401.0,321489,266346.64,2014/03/26,7.0,32869.75,7,6,13.05454545,94,0,500,5,0.828478237,33,23,127130,135828,31700,500,32200,32200,295158,168028,0.41071428600000004,0.589285714,0.483459399,0.5165367989999999,7
58899,2010/11/10,2011/02/23,女,6,PARIS,,FR,50.0,2014/03/31,40,249882,0,31823,66239.0,63260.0,284160,238081.82,2014/02/16,5.0,31235.25,0,45,17.58974359,77,0,0,12,0.8378442429999999,15,25,144509,105373,31823,0,31823,31823,281705,137196,0.625,0.375,0.578306648,0.421689351,13
41281,2011/06/07,2011/06/09,男,6,VECHEL,NORD BRABANT,AN,,2014/03/31,23,255573,0,29947,46800.0,198224.0,214590,227815.38,2014/03/26,2.875,31946.625,1,6,32.90909091,135,0,1000,7,1.0616309240000001,8,15,97712,157861,29947,1000,30947,30947,286520,188808,0.6521739129999999,0.347826087,0.382323711,0.617672377,9
28474,2010/04/13,2010/04/13,男,6,,CA,US,41.0,2014/03/31,20,256337,0,24423,64258.0,59600.0,222380,223470.65,2014/01/18,2.5,32042.125,34,74,32.78947368,110,0,0,8,1.004904443,13,7,152816,103521,24423,0,24423,24423,280760,127944,0.35,0.65,0.596150395,0.40384570399999997,9
58472,2010/02/14,2010/03/01,女,5,,,FR,48.0,2014/03/31,44,204801,0,30638,38510.0,75816.0,281837,221892.65,2014/03/15,5.5,25600.125,31,17,15.88372093,66,0,500,10,0.7873084440000001,17,27,75627,129174,30638,500,31138,31138,235939,160312,0.613636364,0.386363636,0.369268855,0.630726262,12
58472,2010/02/14,2010/03/01,女,5,,,FR,48.0,2014/03/31,44,204801,0,30638,38510.0,75816.0,281837,221892.65,2014/03/15,5.5,25600.125,31,17,15.88372093,66,0,500,10,0.7873084440000001,17,27,75627,129174,30638,500,31138,31138,235939,160312,0.613636364,0.386363636,0.369268855,0.630726262,12
28014,2006/12/01,2011/01/07,女,6,Paris,,FR,48.0,2014/03/31,47,218842,0,30870,63100.0,69298.0,285144,206924.9,2014/03/29,5.875,27355.25,1,3,15.80434783,105,0,2000,5,0.725685618,22,25,126430,92412,30870,2000,32870,32870,251712,125282,0.531914894,0.46808510600000003,0.577720101,0.42227533,7
58693,2010/12/11,2011/08/06,男,6,PARIS,,FR,39.0,2014/03/31,21,219390,0,18503,54900.0,63000.0,185493,190966.44,2014/03/10,2.625,27423.75,11,22,34.9,154,0,0,4,1.029507529,11,10,114042,105348,18503,0,18503,18503,237893,123851,0.47619047600000003,0.523809524,0.51981166,0.48018378100000003,5
47919,2008/12/14,2010/05/20,女,6,,VIC,AU,43.0,2014/03/31,30,198230,0,13817,80383.0,91978.0,184194,171024.92,2014/03/25,3.75,24778.75,15,7,24.44827586,92,0,0,3,0.928504294,15,15,88252,109978,13817,0,13817,13817,212047,123795,0.5,0.5,0.445197774,0.554797181,3
50434,2011/06/09,2011/06/22,男,4,LOS ANGELES,,US,44.0,2014/03/31,16,196213,0,9342,37800.0,54093.0,163191,166376.5,2014/03/14,2.0,24526.625,38,18,45.0,193,0,500,3,1.019520072,6,10,90726,105487,9342,500,9842,9842,206055,115329,0.625,0.375,0.462382908,0.537611995,4
30681,2010/05/26,2010/11/05,男,6,,,JP,55.0,2014/03/31,48,168825,0,11957,96104.0,95788.0,150537,150709.3,2014/03/21,6.0,21103.125,19,11,14.91489362,70,5868,34326,5,1.001144569,23,25,84402,84423,11957,40194,52151,46283,220976,130706,0.520833333,0.47916666700000005,0.499934844,0.500059233,16
30681,2010/05/26,2010/11/05,男,6,,,JP,55.0,2014/03/31,48,168825,0,11957,96104.0,95788.0,150537,150709.3,2014/03/21,6.0,21103.125,19,11,14.91489362,70,5868,34326,5,1.001144569,23,25,84402,84423,11957,40194,52151,46283,220976,130706,0.520833333,0.47916666700000005,0.499934844,0.500059233,16
47194,2005/04/02,2005/04/02,男,6,,北京,CN,53.0,2014/03/31,113,114508,0,19673,46357.0,73029.0,204853,138149.09,2014/03/29,14.125,14313.5,6,3,6.446428571,31,5,36784,3,0.6743815809999999,47,66,38223,76285,19673,36789,56462,56457,170970,132742,0.584070796,0.415929204,0.33379909,0.666192177,32
47040,2013/03/16,2013/04/28,男,6,,,US,56.0,2014/03/31,14,147158,0,18667,0.0,69575.0,126850,128938.36,2014/03/09,2.8,29431.6,43,23,24.30769231,61,0,0,0,1.016463224,0,14,0,147158,18667,0,18667,18667,165825,165825,1.0,0.0,0.0,0.999993205,0
47040,2013/03/16,2013/04/28,男,6,,,US,56.0,2014/03/31,14,147158,0,18667,0.0,69575.0,126850,128938.36,2014/03/09,2.8,29431.6,43,23,24.30769231,61,0,0,0,1.016463224,0,14,0,147158,18667,0,18667,18667,165825,165825,1.0,0.0,0.0,0.999993205,0
